,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,ECG_P_Peaks,ECG_Q_Peaks,ECG_S_Peaks,ECG_T_Peaks,ECG_R_Peaks,ratio p/r peaks,ratio q/r peaks,ratio s/r peaks,ratio t/r peaks,arrythmia
50400-54000,850.2777777777777,30.187173304215932,29.86021388258726,31.118550697789036,0.03550271933850943,0.03511818685962566,854.1666666666666,45.30166666666665,0.05303609756097559,47.222222222222285,820.5555555555555,876.1111111111112,10.0,50.0,813.8888888888889,891.6666666666667,5.0,0.0,10,4,10,9,11,0.9090909090909091,0.36363636363636365,0.9090909090909091,0.8181818181818182,1
57600-61200,844.191919191919,22.133661917969867,21.11841978749801,22.191336561400355,0.026218755966246093,0.025016135913398782,838.8888888888889,20.591666666666704,0.024546357615894084,30.55555555555543,825.0,863.8888888888889,0.0,18.181818181818183,811.1111111111111,883.3333333333333,5.5,15.625,10,4,11,9,12,0.8333333333333334,0.3333333333333333,0.9166666666666666,0.75,0
61200-64800,852.7777777777779,20.286020648339477,21.950499242832763,22.685185185185173,0.023788167535512085,0.02573999911211659,850.0,28.82833333333318,0.033915686274509624,38.19444444444446,832.7777777777778,872.2222222222223,0.0,40.0,830.5555555555557,880.5555555555555,3.3333333333333335,0.0,9,5,10,10,11,0.8181818181818182,0.45454545454545453,0.9090909090909091,0.9090909090909091,0
64800-68400,857.5,22.83304045950765,18.679852779474086,19.680010469289147,0.02662745243091271,0.021784084874022256,859.7222222222222,26.769166666666646,0.03113699515347332,31.944444444444343,837.2222222222223,876.6666666666666,0.0,20.0,825.0,894.4444444444445,5.0,39.0625,11,4,10,10,11,1.0,0.36363636363636365,0.9090909090909091,0.9090909090909091,0
68400-72000,844.1919191919192,22.513869026468228,18.530088977953273,19.530234027073632,0.026669135909307265,0.021950090443522273,833.3333333333334,8.236666666666816,0.009884000000000179,23.61111111111086,830.5555555555557,858.3333333333333,0.0,18.181818181818183,813.8888888888889,891.6666666666667,2.75,23.4375,10,5,11,11,12,0.8333333333333334,0.4166666666666667,0.9166666666666666,0.9166666666666666,0
75600-79200,854.1666666666667,27.939344943730774,28.538953717448955,29.921164133438,0.03270947700729456,0.03341145801067194,859.7222222222222,28.82833333333335,0.03353214862681747,37.499999999999886,828.8888888888889,870.0,0.0,50.0,819.4444444444445,908.3333333333334,5.0,15.625,11,4,10,11,11,1.0,0.36363636363636365,0.9090909090909091,1.0,0
82800-86400,851.7676767676767,26.62243806930928,27.27319490807462,28.017484253021593,0.03125551578845679,0.03201952322442203,855.5555555555555,37.06499999999983,0.04332272727272707,40.277777777777715,827.7777777777777,875.0,9.090909090909092,36.36363636363637,813.8888888888889,894.4444444444445,5.5,0.0,11,6,11,8,12,0.9166666666666666,0.5,0.9166666666666666,0.6666666666666666,0
86400-90000,855.0,29.098244258546615,28.343014564840672,29.411815137534422,0.034033034220522354,0.03314972463724055,852.7777777777778,32.94666666666659,0.03863452768729632,38.19444444444446,830.5555555555555,881.1111111111111,0.0,40.0,813.8888888888889,897.2222222222223,5.0,0.0,10,3,10,9,11,0.9090909090909091,0.2727272727272727,0.9090909090909091,0.8181818181818182,0
90000-93600,844.7222222222223,25.169180644609536,24.07407407407407,25.50081361837113,0.029795807405654167,0.028499397128137666,841.6666666666666,26.769166666666646,0.03180495049504948,36.111111111111086,824.4444444444445,867.2222222222223,0.0,40.0,811.1111111111111,883.3333333333333,3.3333333333333335,15.625,10,4,10,8,11,0.9090909090909091,0.36363636363636365,0.9090909090909091,0.7272727272727273,0
93600-97200,850.0000000000002,27.467401804058,27.793205592228947,29.067291022856033,0.032314590357715285,0.03269788893203405,848.6111111111111,28.828333333333266,0.033971194762684044,32.63888888888903,826.1111111111111,865.5555555555557,0.0,40.0,819.4444444444445,900.0,5.0,0.0,10,4,10,10,11,0.9090909090909091,0.36363636363636365,0.9090909090909091,0.9090909090909091,0
97200-100800,856.1111111111111,24.385450698343018,19.466477816322822,20.38614708917038,0.02848397875212033,0.02273826091458863,861.1111111111111,16.473333333333464,0.019130322580645315,24.305555555555657,841.6666666666666,872.2222222222223,0.0,30.0,813.8888888888889,891.6666666666667,3.3333333333333335,54.6875,9,5,10,11,11,0.8181818181818182,0.45454545454545453,0.9090909090909091,1.0,0
100800-104400,843.939393939394,16.6118627579004,16.52719420071506,17.411347071915834,0.019683715296614477,0.019583389896718022,841.6666666666666,12.355000000000055,0.014679207920792145,18.055555555555543,833.3333333333334,858.3333333333333,0.0,18.181818181818183,816.6666666666666,872.2222222222223,3.6666666666666665,39.0625,11,5,11,10,12,0.9166666666666666,0.4166666666666667,0.9166666666666666,0.8333333333333334,0
104400-108000,854.1666666666666,22.652092264305683,22.755936532304645,23.561130833332356,0.02651952265089446,0.026641096428063976,862.5,26.769166666666646,0.031036714975845387,33.33333333333337,829.4444444444446,868.8888888888889,0.0,30.0,822.2222222222222,886.1111111111111,2.5,39.0625,11,3,10,10,11,1.0,0.2727272727272727,0.9090909090909091,0.9090909090909091,0
108000-111600,856.9444444444443,22.84054885841483,21.195413226406668,22.241503980489473,0.02665347678777744,0.024733707492727394,855.5555555555554,26.769166666666646,0.031288636363636345,31.25,839.4444444444445,878.3333333333333,0.0,40.0,822.2222222222222,894.4444444444445,5.0,39.0625,11,4,10,9,11,1.0,0.36363636363636365,0.9090909090909091,0.8181818181818182,1
111600-115200,846.1111111111111,27.535984686858345,27.700509817873332,29.291326778024416,0.03254417100219634,0.03273861961403283,841.6666666666666,22.650833333333324,0.0269118811881188,25.0,823.8888888888889,860.5555555555555,10.0,60.0,813.8888888888889,902.7777777777778,3.3333333333333335,23.4375,11,5,10,10,11,1.0,0.45454545454545453,0.9090909090909091,0.9090909090909091,1
115200-118800,854.2929292929293,27.396371424475788,28.040424962877523,29.38119225221919,0.0320690602544854,0.032822962711497185,844.4444444444445,32.94666666666676,0.039015789473684316,41.66666666666663,836.1111111111111,883.3333333333333,9.090909090909092,36.36363636363637,811.1111111111111,894.4444444444445,3.6666666666666665,39.0625,10,4,11,9,12,0.8333333333333334,0.3333333333333333,0.9166666666666666,0.75,1
118800-122400,853.6111111111111,23.861238663623798,25.374425196379114,26.46188733785785,0.027953289680782843,0.029725978101843416,861.1111111111111,18.532500000000084,0.021521612903225906,36.1111111111112,827.2222222222222,872.7777777777778,0.0,40.0,811.1111111111111,880.5555555555555,5.0,15.625,11,5,10,8,11,1.0,0.45454545454545453,0.9090909090909091,0.7272727272727273,0
122400-126000,845.0000000000002,25.350762901700165,26.008466491089155,27.53754140363529,0.030000902842248708,0.0307792502853126,838.8888888888889,14.41416666666659,0.017182450331125736,18.05555555555543,828.8888888888889,854.4444444444445,10.0,50.0,819.4444444444445,902.7777777777778,5.0,39.0625,9,5,10,8,11,0.8181818181818182,0.45454545454545453,0.9090909090909091,0.7272727272727273,0
126000-129600,849.4444444444443,28.139618590711702,26.995147661320846,28.263500239994823,0.0331270853258869,0.03177976833903043,852.7777777777778,39.12416666666679,0.045878501628664636,37.5,823.3333333333334,868.8888888888889,0.0,50.0,813.8888888888889,891.6666666666667,5.0,0.0,10,4,10,10,11,0.9090909090909091,0.36363636363636365,0.9090909090909091,0.9090909090909091,1
129600-133200,856.060606060606,26.89767366306701,25.30675994206751,26.358819775789776,0.03142029135862695,0.02956187887037975,858.3333333333333,28.82833333333318,0.033586407766990116,33.33333333333326,838.8888888888889,875.0,9.090909090909092,36.36363636363637,813.8888888888889,902.7777777777778,5.5,0.0,11,4,11,10,12,0.9166666666666666,0.3333333333333333,0.9166666666666666,0.8333333333333334,0
136800-140400,850.5555555555554,18.830701953905447,20.4543722540505,21.205523130738513,0.022139296875917577,0.02404824954754468,845.8333333333333,26.769166666666646,0.03164827586206894,31.25,834.4444444444445,870.5555555555555,0.0,40.0,827.7777777777777,875.0,3.3333333333333335,23.4375,10,3,10,10,11,0.9090909090909091,0.2727272727272727,0.9090909090909091,0.9090909090909091,1
144000-147600,842.9292929292928,22.304141935406236,17.69948035785997,18.647697592850502,0.02646027623253706,0.0209975860446751,833.3333333333334,12.355000000000055,0.014826000000000067,26.388888888888914,827.7777777777777,858.3333333333333,0.0,27.27272727272727,816.6666666666666,888.8888888888888,3.6666666666666665,0.0,9,4,11,10,12,0.75,0.3333333333333333,0.9166666666666666,0.8333333333333334,0
147600-151200,854.4444444444446,24.009885938315445,24.879683041748848,25.72258219090569,0.028099996546793106,0.029117964548210612,863.8888888888889,22.65083333333324,0.026219614147909857,44.44444444444423,830.5555555555557,877.7777777777777,0.0,30.0,816.6666666666666,880.5555555555555,3.3333333333333335,15.625,10,5,10,10,11,0.9090909090909091,0.45454545454545453,0.9090909090909091,0.9090909090909091,0
151200-154800,855.5555555555557,28.508896885816057,28.94166594090332,30.400842887744467,0.033322087269135645,0.03382792122962725,862.5,26.76916666666673,0.031036714975845484,42.3611111111112,826.6666666666666,872.2222222222223,0.0,50.0,819.4444444444445,908.3333333333334,3.3333333333333335,54.6875,11,5,10,9,11,1.0,0.45454545454545453,0.9090909090909091,0.8181818181818182,0
158400-162000,851.5151515151515,26.36295908414453,26.64350846284844,27.335993045342878,0.030960058710917067,0.0312895295115302,850.0,32.94666666666676,0.0387607843137256,40.277777777777715,827.7777777777777,875.0,9.090909090909092,27.27272727272727,813.8888888888889,897.2222222222223,5.5,0.0,12,2,11,10,12,1.0,0.16666666666666666,0.9166666666666666,0.8333333333333334,0
162000-165600,855.2777777777779,27.945481413153264,26.627414526941518,27.92015978391596,0.0326741581966066,0.031133060180899463,855.5555555555554,32.94666666666667,0.03850909090909092,39.58333333333337,832.7777777777777,882.2222222222222,0.0,40.0,811.1111111111111,891.6666666666667,5.0,46.875,11,3,10,9,11,1.0,0.2727272727272727,0.9090909090909091,0.8181818181818182,1
165600-169200,845.8333333333333,24.26031945661833,24.56759103966963,26.04963869747259,0.028682151081716255,0.02904542783015129,847.2222222222222,35.00583333333329,0.04131836065573766,39.58333333333337,822.2222222222222,866.6666666666666,0.0,50.0,813.8888888888889,880.5555555555555,3.3333333333333335,0.0,10,4,10,8,11,0.9090909090909091,0.36363636363636365,0.9090909090909091,0.7272727272727273,1
169200-172800,850.0,24.07407407407407,24.706785303937654,25.676712266411197,0.028322440087145965,0.029066806239926652,845.8333333333333,22.65083333333324,0.026779310344827476,26.388888888888914,832.2222222222223,867.7777777777778,0.0,30.0,819.4444444444445,894.4444444444445,3.3333333333333335,31.25,10,3,10,9,11,0.9090909090909091,0.2727272727272727,0.9090909090909091,0.8181818181818182,0
172800-176400,856.060606060606,24.683746020826135,23.488242396232966,24.25325059881771,0.02883411039600929,0.027437592887634973,861.1111111111112,32.94666666666676,0.03826064516129042,37.5,833.3333333333334,877.7777777777777,0.0,36.36363636363637,819.4444444444445,886.1111111111111,5.5,0.0,10,5,11,11,12,0.8333333333333334,0.4166666666666667,0.9166666666666666,0.9166666666666666,0
180000-183600,844.7222222222223,52.9067624638221,83.42073605758692,88.26216171538154,0.06263214234454441,0.09875522847987928,844.4444444444445,41.18333333333332,0.04876973684210525,49.30555555555566,825.0,880.5555555555555,40.0,60.0,727.7777777777777,927.7777777777778,5.0,117.1875,10,5,10,9,11,0.9090909090909091,0.45454545454545453,0.9090909090909091,0.8181818181818182,1
187200-190800,845.7070707070707,23.810064928915917,23.05722885494127,24.26031945661835,0.028154033179607952,0.02726384779503357,838.8888888888889,24.71000000000011,0.02945562913907298,29.166666666666742,822.2222222222222,861.1111111111112,0.0,36.36363636363637,816.6666666666666,888.8888888888888,3.6666666666666665,23.4375,12,4,11,11,12,1.0,0.3333333333333333,0.9166666666666666,0.9166666666666666,0
190800-194400,854.7979797979798,25.248484525200766,24.3749010760892,25.147029921137683,0.02953737037512409,0.028515393873356935,847.2222222222222,20.591666666666534,0.02430491803278673,34.72222222222217,838.8888888888889,880.5555555555555,0.0,36.36363636363637,808.3333333333334,888.8888888888888,5.5,46.875,12,5,11,9,12,1.0,0.4166666666666667,0.9166666666666666,0.75,1
194400-198000,853.888888888889,21.722782664615057,22.849930887505646,23.966998343601418,0.025439823549972086,0.026759840987319556,862.5,20.59166666666662,0.023874396135265645,38.888888888888914,830.5555555555557,872.7777777777778,0.0,30.0,819.4444444444445,877.7777777777777,5.0,23.4375,10,3,10,11,11,0.9090909090909091,0.2727272727272727,0.9090909090909091,1.0,0
201600-205200,851.767676767677,27.701916613527874,25.804942583319107,26.625804598312996,0.032522854962813624,0.030295752336182518,863.8888888888889,24.71000000000011,0.02860321543408373,43.05555555555554,822.2222222222222,872.2222222222223,0.0,63.63636363636363,808.3333333333334,897.2222222222223,3.6666666666666665,62.5,11,5,11,9,12,0.9166666666666666,0.4166666666666667,0.9166666666666666,0.75,0
205200-208800,854.2929292929294,25.195643006025733,26.571008985706964,27.884055948367507,0.029492978511339606,0.03110292509116156,855.5555555555555,32.94666666666659,0.03850909090909082,41.66666666666663,827.7777777777777,875.0,9.090909090909092,36.36363636363637,819.4444444444445,891.6666666666667,5.5,0.0,11,5,11,10,12,0.9166666666666666,0.4166666666666667,0.9166666666666666,0.8333333333333334,0
208800-212400,843.0555555555554,26.907668679111836,24.845199749997658,26.31976000657758,0.03191683928988554,0.029470418154857195,836.1111111111111,26.769166666666646,0.032016279069767416,31.25,821.1111111111111,858.3333333333334,0.0,30.0,813.8888888888889,900.0,5.0,0.0,10,4,10,11,11,0.9090909090909091,0.36363636363636365,0.9090909090909091,1.0,0
216000-219600,856.9444444444446,25.76837046310325,21.296296296296315,22.1836084272425,0.03007005953554998,0.024851431658562958,863.8888888888889,30.88749999999997,0.035754019292604466,42.3611111111112,827.7777777777777,876.1111111111111,0.0,20.0,825.0,900.0,3.3333333333333335,0.0,11,2,10,11,11,1.0,0.18181818181818182,0.9090909090909091,1.0,0
219600-223200,827.2727272727273,66.02489922461562,112.47084670271086,118.55323565596727,0.07981031774404086,0.1359537707395406,825.0,16.473333333333294,0.01996767676767672,43.05555555555566,816.6666666666666,866.6666666666667,27.27272727272727,45.45454545454545,652.7777777777778,916.6666666666666,3.6666666666666665,179.6875,11,3,11,7,12,0.9166666666666666,0.25,0.9166666666666666,0.5833333333333334,1
223200-226800,854.2929292929294,23.119510905548665,21.264065787782926,21.635780454718372,0.027062744069161305,0.02489083668921678,850.0,24.709999999999944,0.029070588235294053,27.777777777777715,838.8888888888889,869.4444444444445,0.0,27.27272727272727,811.1111111111111,888.8888888888888,3.6666666666666665,39.0625,12,5,11,10,12,1.0,0.4166666666666667,0.9166666666666666,0.8333333333333334,1
226800-230400,854.4444444444446,25.53273269662839,27.31089111806043,28.602719613228693,0.0298822619336353,0.03196333160761298,856.9444444444445,35.00583333333329,0.040849594813614214,38.19444444444434,829.4444444444446,875.0,10.0,40.0,822.2222222222222,894.4444444444445,5.0,0.0,11,3,10,10,11,1.0,0.2727272727272727,0.9090909090909091,0.9090909090909091,0
230400-234000,845.8333333333334,25.230419617479118,23.11108143397904,24.493322345206106,0.02982906752805413,0.027323446030320046,838.8888888888889,12.355000000000055,0.01472781456953649,26.388888888888914,832.2222222222223,867.2222222222223,0.0,50.0,808.3333333333334,897.2222222222223,2.5,31.25,11,3,10,10,11,1.0,0.2727272727272727,0.9090909090909091,0.9090909090909091,0
234000-237600,850.5555555555554,27.398647248655216,27.824035557993945,28.8489455579915,0.03221264862676643,0.03271277857896088,854.1666666666666,35.00583333333329,0.0409824390243902,38.8888888888888,823.3333333333334,872.7777777777778,10.0,50.0,813.8888888888889,891.6666666666667,3.3333333333333335,39.0625,11,3,10,10,11,1.0,0.2727272727272727,0.9090909090909091,0.9090909090909091,1
237600-241200,855.5555555555554,27.41428842550074,27.414288425500736,28.682788078595003,0.03204267478305282,0.03204267478305281,855.5555555555555,32.94666666666659,0.03850909090909082,47.22222222222217,827.7777777777777,877.7777777777777,0.0,45.45454545454545,816.6666666666666,897.2222222222223,5.5,0.0,12,5,11,10,12,1.0,0.4166666666666667,0.9166666666666666,0.8333333333333334,0
241200-244800,845.8333333333334,25.467171369398255,26.336041950607193,27.931672461108054,0.03010897107712109,0.031136207232244955,850.0,37.065,0.043605882352941175,35.416666666666515,818.8888888888889,862.2222222222222,0.0,60.0,816.6666666666666,888.8888888888888,3.3333333333333335,0.0,11,4,10,11,11,1.0,0.36363636363636365,0.9090909090909091,1.0,1
244800-248400,852.2222222222223,25.112913734053095,26.254531256958956,27.46740180405803,0.029467565007363472,0.03080714228326344,845.8333333333333,24.70999999999986,0.029213793103448113,34.0277777777776,830.0000000000001,871.6666666666666,10.0,30.0,827.7777777777777,902.7777777777778,5.0,0.0,10,6,10,8,11,0.9090909090909091,0.5454545454545454,0.9090909090909091,0.7272727272727273,0
248400-252000,857.7777777777777,29.681667266885693,26.56294127366861,27.850983782768573,0.03460297997434861,0.03096715951593491,862.5,35.00583333333338,0.040586473429951746,45.1388888888888,828.8888888888889,882.7777777777778,0.0,30.0,811.1111111111111,897.2222222222223,5.0,54.6875,11,5,10,11,11,1.0,0.45454545454545453,0.9090909090909091,1.0,0
252000-255600,844.191919191919,22.786398959759115,24.31150720782342,25.19471497261759,0.02699196526492555,0.02879855475410732,841.6666666666666,32.94666666666659,0.03914455445544545,40.27777777777783,822.2222222222222,866.6666666666667,9.090909090909092,27.27272727272727,811.1111111111111,877.7777777777777,3.6666666666666665,31.25,10,4,11,10,12,0.8333333333333334,0.3333333333333333,0.9166666666666666,0.8333333333333334,0
259200-262800,854.4444444444446,23.09994982150026,24.00274332743653,25.247404082288867,0.02703505180669731,0.028091637184256012,854.1666666666667,28.82833333333335,0.03375024390243904,36.80555555555554,834.4444444444445,875.5555555555555,0.0,30.0,822.2222222222222,888.8888888888888,5.0,0.0,10,6,10,11,11,0.9090909090909091,0.5454545454545454,0.9090909090909091,1.0,0
262800-266400,845.5555555555554,22.34533796888648,22.812379619916534,24.087425072830694,0.02642681231537166,0.026979161179927574,837.5,26.76916666666673,0.03196318407960207,38.888888888888914,826.6666666666666,870.0,10.0,20.0,816.6666666666666,875.0,3.3333333333333335,0.0,11,5,10,10,11,1.0,0.45454545454545453,0.9090909090909091,0.9090909090909091,0
266400-270000,855.050505050505,25.87416670746785,23.422448870925347,23.579317737494172,0.030260395794912198,0.027393058927603183,855.5555555555555,28.82833333333335,0.03369545454545456,41.66666666666674,827.7777777777777,875.0,0.0,45.45454545454545,822.2222222222222,897.2222222222223,3.6666666666666665,0.0,12,3,11,10,12,1.0,0.25,0.9166666666666666,0.8333333333333334,0
270000-273600,832.5757575757576,83.07451389992117,102.33764618731709,107.75844614715537,0.09978012588525563,0.1229169180775783,861.1111111111112,32.94666666666676,0.03826064516129042,38.888888888888914,827.7777777777777,875.0,27.27272727272727,45.45454545454545,597.2222222222222,888.8888888888888,5.5,265.625,12,6,11,10,12,1.0,0.5,0.9166666666666666,0.8333333333333334,1
273600-277200,845.5555555555557,28.784235892926596,27.854831400909887,29.528182813151833,0.03404180328992632,0.03294263897610893,837.5,22.650833333333406,0.027045771144278693,30.555555555555543,822.2222222222222,862.2222222222222,10.0,50.0,816.6666666666666,908.3333333333334,5.0,0.0,11,4,10,9,11,1.0,0.36363636363636365,0.9090909090909091,0.8181818181818182,0
277200-280800,852.5,28.99937324898627,29.52818281315182,30.820957364987493,0.03401686011611293,0.03463716459020741,852.7777777777777,37.065,0.04346384364820847,48.6111111111112,827.2222222222222,878.3333333333333,10.0,40.0,811.1111111111111,897.2222222222223,3.3333333333333335,15.625,11,4,10,9,11,1.0,0.36363636363636365,0.9090909090909091,0.8181818181818182,0
288000-291600,846.7171717171715,25.422910035196356,26.614532371118838,28.029721634803177,0.030025268040375065,0.031432612045818854,841.6666666666666,28.82833333333335,0.03425148514851487,38.888888888888914,822.2222222222222,869.4444444444445,0.0,45.45454545454545,816.6666666666666,888.8888888888888,5.5,0.0,12,5,11,11,12,1.0,0.4166666666666667,0.9166666666666666,0.9166666666666666,0
291600-295200,856.8181818181816,25.56049578951105,22.012903062398866,23.018153508622355,0.029831878375026166,0.025691451850014597,863.8888888888889,24.709999999999944,0.028603215434083534,30.555555555555543,830.5555555555557,869.4444444444445,0.0,36.36363636363637,819.4444444444445,902.7777777777778,5.5,70.3125,11,4,11,11,12,0.9166666666666666,0.3333333333333333,0.9166666666666666,0.9166666666666666,0
295200-298800,821.9696969696971,66.10241008865428,88.6759602481187,93.45019506387345,0.08041952195117386,0.10788227421890936,830.5555555555557,20.59166666666687,0.02479264214046847,33.333333333333485,816.6666666666666,861.1111111111112,18.181818181818183,45.45454545454545,633.3333333333333,877.7777777777777,5.5,210.9375,12,5,11,8,12,1.0,0.4166666666666667,0.9166666666666666,0.6666666666666666,1
298800-302400,854.4444444444446,24.5396574421888,24.776089185666006,25.272859377696612,0.02872001521192447,0.028996723364238496,852.7777777777777,22.650833333333406,0.026561237785016373,28.472222222222285,835.5555555555555,870.0,0.0,40.0,819.4444444444445,900.0,5.0,23.4375,11,3,10,11,11,1.0,0.2727272727272727,0.9090909090909091,1.0,0
302400-306000,832.2222222222223,80.90282745190018,100.83244056333679,106.93642746926913,0.09721301028933266,0.12116047597730721,855.5555555555555,20.591666666666704,0.024068181818181864,25.694444444444457,833.3333333333333,872.2222222222222,20.0,50.0,613.8888888888889,894.4444444444445,5.0,257.8125,11,4,10,10,11,1.0,0.36363636363636365,0.9090909090909091,0.9090909090909091,1
306000-309600,845.0,27.398647248655227,23.01815350862232,24.379297306817755,0.03242443461379317,0.027240418353399194,834.7222222222222,12.354999999999972,0.01480133111480862,31.250000000000114,827.2222222222222,870.0,0.0,30.0,816.6666666666666,897.2222222222223,3.3333333333333335,0.0,11,3,10,10,11,1.0,0.2727272727272727,0.9090909090909091,0.9090909090909091,0
309600-313200,852.5,25.169180644609543,25.187908349510078,25.90111246425808,0.02952396556552439,0.029545933547812406,861.1111111111111,20.591666666666704,0.023912903225806494,39.58333333333337,826.1111111111111,875.0,0.0,20.0,811.1111111111111,883.3333333333333,5.0,54.6875,11,4,10,10,11,1.0,0.36363636363636365,0.9090909090909091,0.9090909090909091,0
313200-316800,854.2929292929293,26.039015016515194,27.708246310083346,29.028922241010314,0.03048019493508725,0.03243412810757613,847.2222222222222,32.94666666666659,0.03888786885245892,43.05555555555566,827.7777777777777,880.5555555555555,9.090909090909092,36.36363636363637,822.2222222222222,900.0,3.6666666666666665,0.0,12,5,11,10,12,1.0,0.4166666666666667,0.9166666666666666,0.8333333333333334,0
316800-320400,822.9797979797979,75.15509590144308,60.46374283428759,58.7973898994242,0.09132070566729505,0.07346929169186218,847.2222222222222,37.065,0.04374885245901639,40.27777777777783,816.6666666666666,866.6666666666667,9.090909090909092,72.72727272727273,613.8888888888889,894.4444444444445,5.5,257.8125,12,3,11,9,12,1.0,0.25,0.9166666666666666,0.75,1
320400-324000,853.3333333333333,24.769167523515144,24.619881111682123,25.764211255512116,0.02902636819161931,0.02885142317775249,848.6111111111111,26.769166666666646,0.03154468085106381,31.249999999999886,835.5555555555555,876.1111111111111,10.0,30.0,822.2222222222222,897.2222222222223,5.0,0.0,11,3,10,10,11,1.0,0.2727272727272727,0.9090909090909091,0.9090909090909091,0
